Date : 2021-12-08 13:53:37
Directory : /Users/suwei/Desktop/ep-analysis-front
Total : 192 files,  14926 codes, 340 comments, 875 blanks, all 16141 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Vue                |         73 |     10,535 |         78 |        405 |     11,018 |
| JavaScript         |         67 |      3,164 |        208 |        339 |      3,711 |
| XML                |         35 |        543 |          0 |          3 |        546 |
| SCSS               |          6 |        399 |         23 |         89 |        511 |
| Markdown           |          2 |        106 |          0 |         20 |        126 |
| JSON               |          2 |         72 |          5 |          1 |         78 |
| Properties         |          2 |         64 |         10 |          8 |         82 |
| HTML               |          1 |         24 |          1 |          1 |         26 |
| YAML               |          2 |         10 |         13 |          6 |         29 |
| Docker             |          1 |          5 |          2 |          2 |          9 |
| JSON with Comments |          1 |          4 |          0 |          1 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        192 |     14,926 |        340 |        875 |     16,141 |
| build                                                                                  |          1 |         28 |          0 |          8 |         36 |
| mock                                                                                   |          6 |        345 |         21 |         47 |        413 |
| public                                                                                 |          1 |         24 |          1 |          1 |         26 |
| src                                                                                    |        163 |     13,723 |        271 |        755 |     14,749 |
| src/api                                                                                |         16 |        522 |          0 |         90 |        612 |
| src/assets                                                                             |          8 |        287 |          0 |          1 |        288 |
| src/components                                                                         |         10 |        585 |          7 |         42 |        634 |
| src/components/BarChart                                                                |          1 |        101 |          0 |          5 |        106 |
| src/components/Breadcrumb                                                              |          1 |         84 |          2 |          7 |         93 |
| src/components/Breadtext                                                               |          1 |         49 |          0 |          3 |         52 |
| src/components/CardContainer                                                           |          1 |         22 |          0 |          3 |         25 |
| src/components/DisplayCard                                                             |          1 |         50 |          0 |          3 |         53 |
| src/components/FilterItem                                                              |          1 |         20 |          0 |          3 |         23 |
| src/components/Hamburger                                                               |          1 |         41 |          0 |          4 |         45 |
| src/components/Pagination                                                              |          1 |         98 |          0 |          4 |        102 |
| src/components/SvgIcon                                                                 |          1 |         62 |          1 |          5 |         68 |
| src/components/mixins                                                                  |          1 |         58 |          4 |          5 |         67 |
| src/icons                                                                              |         29 |        267 |         14 |         10 |        291 |
| src/icons/svg                                                                          |         27 |        256 |          0 |          2 |        258 |
| src/layout                                                                             |         10 |        499 |         11 |         41 |        551 |
| src/layout/components                                                                  |          9 |        435 |         10 |         34 |        479 |
| src/layout/components/Sidebar                                                          |          6 |        316 |          9 |         27 |        352 |
